Monster,A
Monster,Angels
Monster,Deva
Monster,Planetar
Monster,Solar
Monster,Aboleth
Monster,Animated Object: Animated Armor
Monster,Animated Object: Flying Sword
Monster,Animated Object: Rug of Smothering
Monster,Ankheg
Monster,Azer
Monster,B
Monster,Basilisk
Monster,Behir
Monster,Bugbear
Monster,Bulette
Monster,C
Monster,Centaur
Monster,Chimera
Monster,Chuul
Monster,Cloaker
Monster,Cockatrice
Monster,Couatl
Monster,D
Monster,Darkmantle
Monster,Doppelganger
Monster,Dragon Turtle
Monster,Drider
Monster,Dryad
Monster,Duergar
Monster,Demons
Monster,Balor
Monster,Dretch
Monster,Glabrezu
Monster,Hezrou
Monster,Marilith
Monster,Nalfeshnee
Monster,Quasit
Monster,Vrock
Monster,Devils
Monster,Barbed Devil
Monster,Bearded Devil
Monster,Bone Devil
Monster,Chain Devil
Monster,Erinyes
Monster,Horned Devil
Monster,Ice Devil
Monster,Imp
Monster,Lemure
Monster,Pit Fiend
Monster,Dinosaurs
Monster,Plesiosaurus
Monster,Triceratops
Monster,Tyrannosaurus Rex
Monster,Dragons
Monster,"Dragons, Chromatic"
Monster,"Black Dragon, Adult"
Monster,"Black Dragon, Ancient"
Monster,Black Dragon Wyrmling
Monster,"Black Dragon, Young"
Monster,"Blue Dragon, Adult"
Monster,"Blue Dragon, Ancient"
Monster,Blue Dragon Wyrmling
Monster,"Blue Dragon, Young"
Monster,"Green Dragon, Adult"
Monster,"Green Dragon, Ancient"
Monster,Green Dragon Wyrmling
Monster,"Green Dragon, Young"
Monster,"Red Dragon, Adult"
Monster,"Red Dragon, Ancient"
Monster,Red Dragon Wyrmling
Monster,"Red Dragon, Young"
Monster,"White Dragon, Adult"
Monster,"White Dragon, Ancient"
Monster,White Dragon Wyrmling
Monster,"White Dragon, Young"
Monster,"Dragons, Metallic"
Monster,"Brass Dragon, Adult"
Monster,"Brass Dragon, Ancient"
Monster,Brass Dragon Wyrmling
Monster,"Brass Dragon, Young"
Monster,"Bronze Dragon, Adult"
Monster,"Bronze Dragon, Ancient"
Monster,Bronze Dragon Wyrmling
Monster,"Bronze Dragon, Young"
Monster,"Copper Dragon, Adult"
Monster,"Copper Dragon, Ancient"
Monster,Copper Dragon Wyrmling
Monster,"Copper Dragon, Young"
Monster,"Gold Dragon, Adult"
Monster,"Gold Dragon, Ancient"
Monster,Gold Dragon Wyrmling
Monster,"Gold Dragon, Young"
Monster,"Silver Dragon, Adult"
Monster,"Silver Dragon, Ancient"
Monster,Silver Dragon Wyrmling
Monster,"Silver Dragon, Young"
Monster,E
Monster,"Elf, Drow"
Monster,Ettercap
Monster,Ettin
Monster,Elementals
Monster,Air Elemental
Monster,Earth Elemental
Monster,Fire Elemental
Monster,Water Elemental
Monster,F
Monster,Fungi
Monster,Shrieker
Monster,Violet Fungus
Monster,G
Monster,Genies
Monster,Djinni
Monster,Efreeti
Monster,Ghouls
Monster,Ghast
Monster,Ghoul
Monster,Giants
Monster,Cloud Giant
Monster,Fire Giant
Monster,Frost Giant
Monster,Hill Giant
Monster,Stone Giant
Monster,Storm Giant
Monster,Golems
Monster,Clay Golem
Monster,Flesh Golem
Monster,Iron Golem
Monster,Stone Golem
Monster,Gargoyle
Monster,Ghost
Monster,Gibbering Mouther
Monster,Gnoll
Monster,"Gnome, Deep (Svirfneblin)"
Monster,Goblin
Monster,Gorgon
Monster,Grick
Monster,Griffon
Monster,Grimlock
Monster,H
Monster,Hags
Monster,Green Hag
Monster,Night Hag
Monster,Sea Hag
Monster,Half-Dragon Template
Monster,Half-Red Dragon Veteran
Monster,Harpy
Monster,Hell Hound
Monster,Hippogriff
Monster,Hobgoblin
Monster,Homunculus
Monster,Hydra
Monster,I
Monster,Invisible Stalker
Monster,K
Monster,Kobold
Monster,Kraken
Monster,L
Monster,Lycanthropes
Monster,Werebear
Monster,Wereboar
Monster,Wererat
Monster,Weretiger
Monster,Werewolf
Monster,Lamia
Monster,Lich
Monster,Lizardfolk
Monster,M
Monster,Mephits
Monster,Dust Mephit
Monster,Ice Mephit
Monster,Magma Mephit
Monster,Steam Mephit
Monster,Mummies
Monster,Mummy
Monster,Mummy Lord
Monster,Magmin
Monster,Manticore
Monster,Medusa
Monster,Merfolk
Monster,Merrow
Monster,Mimic
Monster,Minotaur
Monster,N
Monster,Nagas
Monster,Guardian Naga
Monster,Spirit Naga
Monster,Nightmare
Monster,O
Monster,oozes
Monster,Black Pudding
Monster,Gelatinous Cube
Monster,Gray Ooze
Monster,Ochre Jelly
Monster,Ogre
Monster,Oni
Monster,Orc
Monster,Otyugh
Monster,Owlbear
Monster,P
Monster,Pegasus
Monster,Pseudodragon
Monster,Purple Worm
Monster,R
Monster,Rakshasa
Monster,Remorhaz
Monster,Roc
Monster,Roper
Monster,Rust Monster
Monster,S
Monster,Skeletons
Monster,Minotaur Skeleton
Monster,Skeleton
Monster,Warhorse Skeleton
Monster,Sphinxes
Monster,Androsphinx
Monster,Gynosphinx
Monster,Sahuagin
Monster,Salamander
Monster,Satyr
Monster,Shadow
Monster,Shambling Mound
Monster,Shield Guardian
Monster,Specter
Monster,Sprite
Monster,Stirge
Monster,Succubus/Incubus
Monster,T
Monster,Tarrasque
Monster,Treant
Monster,Troll
Monster,U
Monster,Unicorn
Monster,V
Monster,Vampires
Monster,Vampire
Monster,Vampire Spawn
Monster,W
Monster,Wight
Monster,Will-o’-Wisp
Monster,Wraith
Monster,Wyvern
Monster,X
Monster,Xorn
Monster,Z
Monster,Zombies
Monster,Ogre Zombie
Monster,Zombie
